name,pop,cases_day,cases_week,rate_day,rate_week,trend,deaths_day,"New Deaths
Last 7 Days",Death Rate,Trend2,lockdown
Sedgemoor,"122,791",5,24,2.79,19.55,▲,,,0.00,➖,No Additional Restrictions
Somerset West and Taunton,"153,866",12,62,5.76,40.29,▲,,,0.00,➖,No Additional Restrictions
South Gloucestershire,"282,644",22,144,7.28,50.95,▲,,,0.00,➖,No Additional Restrictions
South Hams,"86,221",1,15,2.49,17.40,▲,,,0.00,➖,No Additional Restrictions
South Somerset,"167,861",12,36,3.06,21.45,▲,,,0.00,➖,No Additional Restrictions
Stroud,"119,019",8,34,4.08,28.57,▲,,,0.00,➖,No Additional Restrictions
Swindon,"221,996",8,49,3.15,22.07,▲,,,0.90,➖,No Additional Restrictions
Teignbridge,"132,844",10,45,4.84,33.87,▲,,,0.00,➖,No Additional Restrictions
Tewkesbury,"92,599",3,24,3.70,25.92,▲,,,0.00,➖,No Additional Restrictions
Torbay,"135,780",10,56,5.89,41.24,▲,,,0.00,➖,No Additional Restrictions
Torridge,"68,143",3,8,1.68,11.74,▲,,,0.00,➖,No Additional Restrictions
West Devon,"55,528",2,10,2.57,18.01,▲,,,0.00,➖,No Additional Restrictions
Wiltshire,"498,064",32,139,3.99,27.91,▲,,,0.20,➖,No Additional Restrictions
Wales / Cymru,,,,,,,,,,,
Isle of Anglesey,"70,046",5,11,2.24,15.70,▲,,,,,No Additional Restrictions
Blaenau Gwent,"69,858",12,95,19.43,135.99,▼,,,,,Area of Intervention
Bridgend,"147,044",27,191,18.56,129.89,▲,,,,,Area of Intervention
Caerphilly,"181,080",12,94,7.42,51.91,▲,,,,,Area of Intervention
Cardiff,"366,890",91,421,16.39,114.75,▲,,,,,Area of Intervention
Carmarthenshire,"188,760",20,108,8.17,57.22,▼,,,,,No Additional Restrictions
Ceredigion,"72,727",7,28,5.50,38.50,▲,,,,,No Additional Restrictions
Conwy,"117,205",4,79,9.63,67.40,▲,,,,,Area of Intervention
Denbighshire,"95,697",15,67,10.00,70.01,▲,,,,,Area of Intervention
Flintshire,"156,105",29,151,13.82,96.73,▲,,,,,Area of Intervention
Gwynedd,"124,549",14,74,8.49,59.41,▲,,,,,No Additional Restrictions
Merthyr Tydfil,"60,326",24,117,27.71,193.95,▲,,,,,Area of Intervention
Monmouthshire,"94,598",7,29,4.38,30.66,▲,,,,,No Additional Restrictions
Neath Port Talbot,"143,305",36,120,11.96,83.74,▲,,,,,No Additional Restrictions
Newport,"154,685",21,105,9.70,67.88,▲,,,,,Area of Intervention
Pembrokeshire,"125,799",9,22,2.50,17.49,▲,,,,,No Additional Restrictions
Powys,"132,450",7,36,3.88,27.18,▲,,,,,No Additional Restrictions
Rhondda Cynon Taf,"241,279",78,450,26.64,186.51,▲,,,,,Area of Intervention
Swansea,"246,985",59,276,15.96,111.75,▲,,,,,Area of Intervention
Torfaen,"93,951",15,57,8.67,60.67,▲,,,,,No Additional Restrictions
Vale of Glamorgan,"133,598",11,71,7.59,53.14,▲,,,,,No Additional Restrictions
Wrexham,"135,955",22,124,13.03,91.21,▲,,,,,Area of Intervention
Scotland,,,,,,,,,,,
Aberdeen City,"227,560",15,144,9.04,63.28,▲,,,,,No Additional Restrictions
Aberdeenshire,"261,470",9,39,2.13,14.92,▲,,,,,No Additional Restrictions
Angus,"116,040",6,36,4.43,31.02,▲,,,,,No Additional Restrictions
Argyll and Bute,"86,260",4,36,5.96,41.73,▲,,,,,No Additional Restrictions
City of Edinburgh,"518,500",102,826,22.76,159.31,▲,,,,,No Additional Restrictions
Clackmannanshire,"51,400",2,11,3.06,21.40,▲,,,,,No Additional Restrictions
Dumfries and Galloway,"148,790",5,55,5.28,36.96,▼,,,,,No Additional Restrictions
Dundee City,"148,750",24,140,13.45,94.12,▼,,,,,No Additional Restrictions
East Ayrshire,"121,840",12,87,10.20,71.41,▲,,,,,No Additional Restrictions
East Dunbartonshire,"108,330",11,109,14.37,100.62,▲,,,,,Area of Intervention
East Lothian,"105,790",7,49,6.62,46.32,▲,,,,,No Additional Restrictions
East Renfrewshire,"95,170",14,113,16.96,118.73,▲,,,,,Area of Intervention
Falkirk,"160,340",30,118,10.51,73.59,▲,,,,,No Additional Restrictions
Fife,"371,910",22,189,7.26,50.82,▲,,,,,No Additional Restrictions
Glasgow City,"626,410",173,"1,406",32.06,224.45,▲,,,,,Area of Intervention
Highland,"235,540",4,59,3.58,25.05,▲,,,,,No Additional Restrictions
Inverclyde,"78,150",2,41,7.49,52.46,▲,,,,,No Additional Restrictions
Midlothian,"91,340",9,65,10.17,71.16,▲,,,,,No Additional Restrictions
Moray,"95,520",0,4,0.60,4.19,▼,,,,,No Additional Restrictions
Na h-Eileanan Siar,"26,830",3,21,11.18,78.27,▼,,,,,No Additional Restrictions
North Ayrshire,"135,280",21,101,10.67,74.66,▲,,,,,No Additional Restrictions
North Lanarkshire,"340,180",68,396,16.63,116.41,▲,,,,,No Additional Restrictions
Orkney Islands,"22,190",0,1,0.64,4.51,▼,,,,,No Additional Restrictions
Perth and Kinross,"151,290",3,35,3.30,23.13,▼,,,,,No Additional Restrictions
Renfrewshire,"177,790",29,165,13.26,92.81,▲,,,,,Area of Intervention
Scottish Borders,"115,270",10,39,4.83,33.83,▲,,,,,No Additional Restrictions
Shetland Islands,"22,990",0,0,0.00,0.00,➖,,,,,No Additional Restrictions
South Ayrshire,"112,550",8,58,7.36,51.53,▲,,,,,No Additional Restrictions
South Lanarkshire,"319,020",59,412,18.45,129.15,▲,,,,,No Additional Restrictions
Stirling,"94,330",4,61,9.24,64.67,▼,,,,,No Additional Restrictions
West Dunbartonshire,"89,130",16,81,12.98,90.88,▲,,,,,Area of Intervention
West Lothian,"182,140",25,187,14.67,102.67,▲,,,,,No Additional Restrictions
